village_name,problem_type,severity,affected_families,ngo_1_name,ngo_1_work
Pune,"Malaria, Dengue, Tuberculosis",Medium,35584,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Bengaluru,"Malaria, Dengue, Tuberculosis",High,19015,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Medium,17318,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Mumbai,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Medium,31298,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Mysuru,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,36356,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Varanasi,"Malaria, Dengue, Tuberculosis",Low,61302,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Vadodara,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,49123,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Vadodara,"Malaria, Dengue, Tuberculosis",Low,42012,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Vadodara,"Malaria, Dengue, Tuberculosis",Medium,16887,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Agra,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Medium,60259,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Pune,"Malaria, Dengue, Tuberculosis",Low,18555,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Surat,"Malaria, Dengue, Tuberculosis",Low,51373,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Vadodara,"Malaria, Dengue, Tuberculosis",Low,28908,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Medium,18862,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Pune,"Malaria, Dengue, Tuberculosis",Medium,40153,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Varanasi,"Malaria, Dengue, Tuberculosis",High,40855,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Surat,"Malaria, Dengue, Tuberculosis",Medium,45695,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Mysuru,"Malaria, Dengue, Tuberculosis",Low,43087,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Madurai,"Malaria, Dengue, Tuberculosis",Medium,62899,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Hubli,"Malaria, Dengue, Tuberculosis",High,38914,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Surat,"Malaria, Dengue, Tuberculosis",Medium,38741,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Low,52355,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Pune,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,38185,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Agra,"Malaria, Dengue, Tuberculosis",High,55567,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Mumbai,"Malaria, Dengue, Tuberculosis",Medium,69743,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Lucknow,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,36967,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Mysuru,"Malaria, Dengue, Tuberculosis",Medium,68843,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Hubli,"Malaria, Dengue, Tuberculosis",Low,73366,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Vadodara,"Malaria, Dengue, Tuberculosis",High,20634,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Pune,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Medium,14159,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Vadodara,"Malaria, Dengue, Tuberculosis",Medium,31397,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Varanasi,"Malaria, Dengue, Tuberculosis",Low,39192,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Pune,"Malaria, Dengue, Tuberculosis",Low,23033,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Ahmedabad,"Malaria, Dengue, Tuberculosis",High,50658,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Agra,"Malaria, Dengue, Tuberculosis",Medium,28354,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Lucknow,"Malaria, Dengue, Tuberculosis",Medium,63741,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Mumbai,"Malaria, Dengue, Tuberculosis",Low,41855,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Nagpur,"Malaria, Dengue, Tuberculosis",High,28716,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Agra,"Malaria, Dengue, Tuberculosis",Low,20431,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Nagpur,"Malaria, Dengue, Tuberculosis",High,69059,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Chennai,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",High,20202,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Pune,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,43739,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
